l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1200001,29,7,1,10.00,3919.90,0.08,0.09,N,F,2025-12-25,2025-12-26,2025-12-30,DELIVER IN PERSON,SHIP,Keep dry during long-haul shipment.
1200001,3,8,2,10.00,782.50,0.06,0.18,N,F,2025-12-23,2025-12-22,2025-12-29,TAKE BACK RETURN,SHIP,Cross-border paperwork pre-cleared.
1200001,31,10,3,30.00,10412.10,0.08,0.09,N,F,2025-12-23,2025-12-23,2025-12-28,TAKE BACK RETURN,SHIP,Keep dry during long-haul shipment.
1200001,19,12,4,30.00,18973.80,0.12,0.12,R,F,2025-12-28,2025-12-28,2025-12-30,TAKE BACK RETURN,SHIP,Keep dry during long-haul shipment.
1200001,14,10,5,15.00,8048.40,0.05,0.21,N,F,2025-12-25,2025-12-25,2025-12-30,TAKE BACK RETURN,RAIL,Partial release accepted by planning.
1200002,11,9,1,50.00,36354.00,0.01,0.05,N,F,2025-12-09,2025-12-08,2025-12-14,NONE,TRUCK,Late afternoon dock slot requested.
1200002,10,11,2,10.00,2285.10,0.02,0.07,N,F,2025-12-13,2025-12-11,2025-12-19,NONE,TRUCK,Keep dry during long-haul shipment.
1200002,38,8,3,40.00,2469.60,0.06,0.05,N,F,2025-12-13,2025-12-12,2025-12-17,NONE,TRUCK,Customer requested labeled pallets.
1200002,27,5,4,12.00,6405.24,0.02,0.05,R,F,2025-12-10,2025-12-08,2025-12-17,DELIVER IN PERSON,SHIP,Partial release accepted by planning.
1200002,22,5,5,4.00,749.04,0.01,0.12,A,F,2025-12-11,2025-12-12,2025-12-19,DELIVER IN PERSON,TRUCK,"Standard handling, no extra notes."
1200003,2,13,1,30.00,9873.30,0.03,0.05,N,O,2025-12-30,2025-12-30,2026-01-02,NONE,RAIL,Keep dry during long-haul shipment.
1200003,3,8,2,40.00,3130.00,0.03,0.05,N,F,2025-12-21,2025-12-22,2025-12-26,NONE,MAIL,Keep dry during long-haul shipment.
1200003,27,1,3,12.00,6405.24,0.08,0.05,N,O,2025-12-31,2025-12-29,2026-01-02,COLLECT COD,RAIL,"Standard handling, no extra notes."
1200003,25,1,4,10.00,2288.10,0.03,0.09,N,F,2025-12-25,2025-12-24,2025-12-29,DELIVER IN PERSON,TRUCK,"Standard handling, no extra notes."
1200003,12,15,5,6.00,3216.12,0.04,0.12,N,O,2025-12-30,2025-12-29,2026-01-03,TAKE BACK RETURN,MAIL,"Standard handling, no extra notes."
1200004,36,3,1,5.00,137.65,0.02,0.07,N,F,2025-12-19,2025-12-20,2025-12-24,COLLECT COD,TRUCK,Partial release accepted by planning.
1200004,28,4,2,2.00,1781.92,0.08,0.12,N,F,2025-12-18,2025-12-17,2025-12-26,COLLECT COD,MAIL,Customer requested labeled pallets.
1200004,34,5,3,25.00,15419.50,0.01,0.07,N,F,2025-12-23,2025-12-23,2025-12-25,NONE,TRUCK,Cross-border paperwork pre-cleared.
1200004,7,11,4,25.00,5313.00,0.12,0.18,N,F,2025-12-16,2025-12-17,2025-12-18,NONE,AIR,Late afternoon dock slot requested.
1200004,39,11,5,20.00,16321.80,0.01,0.09,N,O,2025-12-26,2025-12-25,2026-01-03,TAKE BACK RETURN,TRUCK,Late afternoon dock slot requested.
1200005,22,3,1,25.00,4681.50,0.12,0.09,N,O,2025-12-30,2025-12-29,2026-01-03,TAKE BACK RETURN,MAIL,Cross-border paperwork pre-cleared.
1200005,26,15,2,2.00,1025.76,0.03,0.09,N,F,2025-12-24,2025-12-25,2025-12-26,COLLECT COD,MAIL,Partial release accepted by planning.
1200005,18,15,3,12.00,9315.00,0.06,0.07,N,O,2025-12-25,2025-12-26,2026-01-01,COLLECT COD,TRUCK,"Standard handling, no extra notes."
1200005,11,15,4,25.00,18177.00,0.03,0.18,N,O,2026-01-01,2025-12-30,2026-01-04,DELIVER IN PERSON,SHIP,Cross-border paperwork pre-cleared.
1200005,9,9,5,50.00,23352.00,0.05,0.07,N,O,2025-12-30,2025-12-31,2026-01-05,COLLECT COD,RAIL,Late afternoon dock slot requested.
1200006,35,4,1,3.00,2598.30,0.02,0.07,N,F,2025-12-11,2025-12-12,2025-12-16,COLLECT COD,SHIP,Keep dry during long-haul shipment.
1200006,30,15,2,4.00,374.40,0.05,0.18,N,F,2025-12-10,2025-12-09,2025-12-17,NONE,MAIL,Cross-border paperwork pre-cleared.
1200006,33,3,3,3.00,2269.32,0.06,0.09,N,F,2025-12-07,2025-12-08,2025-12-09,NONE,TRUCK,Keep dry during long-haul shipment.
1200006,19,4,4,12.00,7589.52,0.02,0.05,N,F,2025-12-15,2025-12-13,2025-12-19,COLLECT COD,SHIP,Cross-border paperwork pre-cleared.
1200006,34,15,5,20.00,12335.60,0.05,0.21,N,F,2025-12-09,2025-12-08,2025-12-12,COLLECT COD,AIR,Customer requested labeled pallets.
1200007,22,3,1,4.00,749.04,0.00,0.05,N,O,2025-12-26,2025-12-25,2026-01-03,NONE,TRUCK,"Standard handling, no extra notes."
1200007,26,3,2,40.00,20515.20,0.06,0.12,N,F,2025-12-23,2025-12-21,2025-12-31,TAKE BACK RETURN,MAIL,Customer requested labeled pallets.
1200007,9,9,3,1.00,467.04,0.03,0.12,N,F,2025-12-21,2025-12-21,2025-12-23,COLLECT COD,TRUCK,Partial release accepted by planning.
1200007,39,10,4,50.00,40804.50,0.12,0.09,N,F,2025-12-20,2025-12-18,2025-12-27,NONE,MAIL,Cross-border paperwork pre-cleared.
1200007,28,4,5,2.00,1781.92,0.10,0.05,N,F,2025-12-23,2025-12-21,2025-12-30,DELIVER IN PERSON,TRUCK,"Standard handling, no extra notes."
1200008,33,3,1,3.00,2269.32,0.10,0.18,N,F,2025-12-10,2025-12-11,2025-12-17,NONE,SHIP,Partial release accepted by planning.
1200008,15,9,2,2.00,950.14,0.04,0.18,N,F,2025-12-14,2025-12-12,2025-12-17,NONE,MAIL,Keep dry during long-haul shipment.
1200008,2,13,3,12.00,3949.32,0.10,0.07,N,F,2025-12-19,2025-12-17,2025-12-24,TAKE BACK RETURN,RAIL,Partial release accepted by planning.
1200008,30,15,4,40.00,3744.00,0.06,0.07,N,F,2025-12-11,2025-12-09,2025-12-18,COLLECT COD,SHIP,Partial release accepted by planning.
1200008,23,6,5,15.00,5850.15,0.05,0.18,N,F,2025-12-17,2025-12-17,2025-12-21,NONE,SHIP,Cross-border paperwork pre-cleared.
1200009,29,7,1,4.00,1567.96,0.04,0.09,N,F,2025-12-23,2025-12-22,2025-12-26,COLLECT COD,RAIL,Cross-border paperwork pre-cleared.
1200009,17,5,2,5.00,2061.15,0.01,0.21,A,F,2025-12-23,2025-12-21,2025-12-30,DELIVER IN PERSON,MAIL,"Standard handling, no extra notes."
1200009,21,1,3,1.00,758.02,0.06,0.12,N,F,2025-12-17,2025-12-17,2025-12-21,DELIVER IN PERSON,MAIL,Late afternoon dock slot requested.
1200009,13,7,4,50.00,45014.50,0.04,0.12,A,F,2025-12-25,2025-12-23,2025-12-30,NONE,SHIP,"Standard handling, no extra notes."
1200009,25,1,5,2.00,457.62,0.10,0.07,R,F,2025-12-22,2025-12-23,2025-12-24,TAKE BACK RETURN,RAIL,Keep dry during long-haul shipment.
1200010,12,12,1,1.00,536.02,0.12,0.09,N,O,2026-01-05,2026-01-04,2026-01-13,COLLECT COD,MAIL,Late afternoon dock slot requested.
1200010,40,5,2,25.00,22873.25,0.03,0.07,R,F,2025-12-27,2025-12-28,2025-12-29,DELIVER IN PERSON,MAIL,Customer requested labeled pallets.
1200010,27,12,3,2.00,1067.54,0.00,0.09,N,O,2026-01-02,2026-01-02,2026-01-07,TAKE BACK RETURN,RAIL,Cross-border paperwork pre-cleared.
1200010,23,9,4,10.00,3900.10,0.10,0.07,N,O,2026-01-02,2026-01-03,2026-01-10,COLLECT COD,SHIP,Cross-border paperwork pre-cleared.
1200010,8,3,5,6.00,5506.80,0.00,0.18,N,O,2025-12-27,2025-12-28,2026-01-02,COLLECT COD,RAIL,Cross-border paperwork pre-cleared.
1200011,16,3,1,6.00,3518.70,0.02,0.05,N,F,2025-12-16,2025-12-16,2025-12-18,NONE,TRUCK,Cross-border paperwork pre-cleared.
1200011,39,11,2,2.00,1632.18,0.00,0.18,N,F,2025-12-15,2025-12-13,2025-12-23,DELIVER IN PERSON,RAIL,Cross-border paperwork pre-cleared.
1200011,9,3,3,1.00,467.04,0.10,0.09,N,F,2025-12-22,2025-12-21,2025-12-29,DELIVER IN PERSON,AIR,Partial release accepted by planning.
1200011,33,3,4,50.00,37822.00,0.00,0.12,A,F,2025-12-22,2025-12-21,2025-12-28,NONE,MAIL,Cross-border paperwork pre-cleared.
1200011,21,13,5,6.00,4548.12,0.05,0.07,N,F,2025-12-20,2025-12-18,2025-12-23,TAKE BACK RETURN,TRUCK,Customer requested labeled pallets.
1200012,3,3,1,30.00,2347.50,0.02,0.09,N,O,2026-01-01,2026-01-01,2026-01-05,TAKE BACK RETURN,RAIL,Keep dry during long-haul shipment.
1200012,39,5,2,3.00,2448.27,0.05,0.05,N,O,2026-01-08,2026-01-06,2026-01-15,TAKE BACK RETURN,MAIL,Keep dry during long-haul shipment.
1200012,28,9,3,25.00,22274.00,0.04,0.05,N,O,2025-12-28,2025-12-29,2026-01-04,NONE,RAIL,Late afternoon dock slot requested.
1200012,33,10,4,12.00,9077.28,0.10,0.09,N,O,2026-01-01,2025-12-31,2026-01-04,COLLECT COD,AIR,Cross-border paperwork pre-cleared.
1200012,30,5,5,50.00,4680.00,0.04,0.21,N,O,2026-01-01,2026-01-01,2026-01-04,NONE,SHIP,Partial release accepted by planning.
1200013,30,12,1,6.00,561.60,0.02,0.07,N,F,2025-12-12,2025-12-10,2025-12-16,DELIVER IN PERSON,SHIP,Cross-border paperwork pre-cleared.
1200013,40,5,2,1.00,914.93,0.02,0.21,N,F,2025-12-09,2025-12-07,2025-12-17,DELIVER IN PERSON,TRUCK,Keep dry during long-haul shipment.
1200013,31,5,3,15.00,5206.05,0.01,0.12,N,F,2025-12-11,2025-12-09,2025-12-13,DELIVER IN PERSON,SHIP,Keep dry during long-haul shipment.
1200013,14,9,4,4.00,2146.24,0.06,0.18,R,F,2025-12-14,2025-12-13,2025-12-22,NONE,AIR,Keep dry during long-haul shipment.
1200013,17,4,5,1.00,412.23,0.10,0.07,N,F,2025-12-06,2025-12-06,2025-12-10,COLLECT COD,SHIP,Cross-border paperwork pre-cleared.
1200014,37,5,1,50.00,13719.50,0.04,0.05,N,O,2025-12-27,2025-12-26,2026-01-04,NONE,SHIP,"Standard handling, no extra notes."
1200014,32,11,2,40.00,28297.20,0.12,0.05,N,O,2025-12-27,2025-12-28,2026-01-01,TAKE BACK RETURN,MAIL,Late afternoon dock slot requested.
1200014,28,9,3,25.00,22274.00,0.02,0.18,N,O,2025-12-29,2025-12-27,2026-01-06,NONE,RAIL,Keep dry during long-haul shipment.
1200014,20,2,4,50.00,33770.00,0.10,0.05,N,O,2025-12-26,2025-12-25,2026-01-03,COLLECT COD,TRUCK,Partial release accepted by planning.
1200014,36,3,5,3.00,82.59,0.03,0.21,N,F,2025-12-25,2025-12-25,2025-12-29,DELIVER IN PERSON,SHIP,Keep dry during long-haul shipment.
1200015,23,9,1,3.00,1170.03,0.06,0.21,N,F,2025-12-21,2025-12-19,2025-12-28,NONE,SHIP,Late afternoon dock slot requested.
1200015,32,2,2,15.00,10611.45,0.10,0.09,N,F,2025-12-20,2025-12-20,2025-12-22,COLLECT COD,MAIL,Keep dry during long-haul shipment.
1200015,30,12,3,3.00,280.80,0.05,0.18,A,F,2025-12-21,2025-12-22,2025-12-25,DELIVER IN PERSON,RAIL,Keep dry during long-haul shipment.
1200015,38,8,4,50.00,3087.00,0.06,0.09,N,F,2025-12-20,2025-12-19,2025-12-26,COLLECT COD,RAIL,Cross-border paperwork pre-cleared.
1200015,10,8,5,5.00,1142.55,0.02,0.05,A,F,2025-12-19,2025-12-20,2025-12-21,DELIVER IN PERSON,TRUCK,Partial release accepted by planning.
1200016,12,15,1,40.00,21440.80,0.01,0.07,N,F,2025-12-10,2025-12-09,2025-12-17,DELIVER IN PERSON,SHIP,Partial release accepted by planning.
1200016,4,1,2,50.00,15560.50,0.04,0.18,N,F,2025-12-07,2025-12-07,2025-12-10,TAKE BACK RETURN,MAIL,Late afternoon dock slot requested.
1200016,25,10,3,6.00,1372.86,0.06,0.21,N,F,2025-12-08,2025-12-08,2025-12-12,TAKE BACK RETURN,TRUCK,Customer requested labeled pallets.
1200016,14,10,4,2.00,1073.12,0.04,0.18,N,F,2025-12-15,2025-12-13,2025-12-19,COLLECT COD,RAIL,"Standard handling, no extra notes."
1200016,9,3,5,20.00,9340.80,0.03,0.05,A,F,2025-12-13,2025-12-13,2025-12-15,DELIVER IN PERSON,RAIL,Cross-border paperwork pre-cleared.
1200017,16,3,1,4.00,2345.80,0.03,0.21,N,F,2025-12-11,2025-12-11,2025-12-16,COLLECT COD,MAIL,Cross-border paperwork pre-cleared.
1200017,24,8,2,4.00,1415.00,0.01,0.09,N,F,2025-12-16,2025-12-14,2025-12-22,DELIVER IN PERSON,SHIP,Keep dry during long-haul shipment.
1200017,10,11,3,40.00,9140.40,0.12,0.09,N,F,2025-12-11,2025-12-10,2025-12-13,DELIVER IN PERSON,RAIL,Cross-border paperwork pre-cleared.
1200017,39,5,4,30.00,24482.70,0.01,0.12,N,F,2025-12-11,2025-12-12,2025-12-14,TAKE BACK RETURN,TRUCK,Late afternoon dock slot requested.
1200017,14,8,5,5.00,2682.80,0.03,0.09,N,F,2025-12-12,2025-12-12,2025-12-16,TAKE BACK RETURN,RAIL,Keep dry during long-haul shipment.
1200018,11,9,1,3.00,2181.24,0.10,0.07,N,O,2025-12-30,2025-12-28,2026-01-03,COLLECT COD,AIR,Cross-border paperwork pre-cleared.
1200018,36,13,2,25.00,688.25,0.02,0.09,N,O,2025-12-30,2025-12-29,2026-01-04,NONE,TRUCK,Customer requested labeled pallets.
1200018,1,8,3,8.00,3830.08,0.06,0.07,N,O,2025-12-28,2025-12-27,2026-01-03,TAKE BACK RETURN,RAIL,"Standard handling, no extra notes."
1200018,6,1,4,6.00,825.24,0.06,0.12,N,O,2025-12-30,2025-12-31,2026-01-07,DELIVER IN PERSON,AIR,Late afternoon dock slot requested.
1200018,19,5,5,4.00,2529.84,0.05,0.18,R,F,2025-12-25,2025-12-23,2025-12-30,DELIVER IN PERSON,SHIP,"Standard handling, no extra notes."
1200019,27,12,1,50.00,26688.50,0.08,0.21,N,O,2026-01-08,2026-01-07,2026-01-16,TAKE BACK RETURN,AIR,Cross-border paperwork pre-cleared.
1200019,16,4,2,6.00,3518.70,0.12,0.18,N,O,2026-01-09,2026-01-07,2026-01-16,TAKE BACK RETURN,SHIP,Late afternoon dock slot requested.
1200019,19,5,3,12.00,7589.52,0.06,0.18,N,O,2026-01-02,2026-01-01,2026-01-06,DELIVER IN PERSON,MAIL,Keep dry during long-haul shipment.
1200019,23,2,4,10.00,3900.10,0.06,0.05,N,O,2026-01-01,2026-01-01,2026-01-09,NONE,TRUCK,Cross-border paperwork pre-cleared.
1200019,17,13,5,12.00,4946.76,0.02,0.09,N,O,2026-01-02,2025-12-31,2026-01-07,NONE,RAIL,"Standard handling, no extra notes."
1200020,18,6,1,20.00,15525.00,0.04,0.18,N,F,2025-12-14,2025-12-12,2025-12-18,COLLECT COD,TRUCK,Keep dry during long-haul shipment.
1200020,6,1,2,3.00,412.62,0.08,0.05,R,F,2025-12-09,2025-12-09,2025-12-12,TAKE BACK RETURN,MAIL,Late afternoon dock slot requested.
1200020,25,1,3,25.00,5720.25,0.02,0.05,N,F,2025-12-07,2025-12-08,2025-12-10,COLLECT COD,TRUCK,Late afternoon dock slot requested.
1200020,14,9,4,15.00,8048.40,0.05,0.12,A,F,2025-12-08,2025-12-09,2025-12-14,DELIVER IN PERSON,AIR,Customer requested labeled pallets.
1200020,23,6,5,1.00,390.01,0.05,0.12,N,F,2025-12-09,2025-12-08,2025-12-16,COLLECT COD,SHIP,"Standard handling, no extra notes."
1200021,14,10,1,6.00,3219.36,0.10,0.21,N,O,2026-01-02,2026-01-03,2026-01-09,DELIVER IN PERSON,TRUCK,Partial release accepted by planning.
1200021,35,14,2,12.00,10393.20,0.04,0.07,N,O,2026-01-02,2026-01-02,2026-01-06,COLLECT COD,RAIL,Keep dry during long-haul shipment.
1200021,25,8,3,6.00,1372.86,0.01,0.21,N,O,2026-01-02,2026-01-02,2026-01-10,COLLECT COD,MAIL,"Standard handling, no extra notes."
1200021,20,7,4,8.00,5403.20,0.01,0.18,N,O,2026-01-06,2026-01-04,2026-01-08,TAKE BACK RETURN,RAIL,Late afternoon dock slot requested.
1200021,5,6,5,6.00,1408.62,0.03,0.12,N,O,2026-01-06,2026-01-05,2026-01-10,TAKE BACK RETURN,TRUCK,Keep dry during long-haul shipment.
1200022,37,5,1,8.00,2195.12,0.03,0.05,N,O,2025-12-28,2025-12-28,2026-01-04,COLLECT COD,SHIP,"Standard handling, no extra notes."
1200022,13,10,2,4.00,3601.16,0.01,0.18,N,O,2026-01-01,2025-12-30,2026-01-06,DELIVER IN PERSON,RAIL,Partial release accepted by planning.
1200022,7,15,3,40.00,8500.80,0.06,0.09,N,O,2025-12-31,2025-12-29,2026-01-07,COLLECT COD,RAIL,"Standard handling, no extra notes."
1200022,6,1,4,5.00,687.70,0.06,0.21,N,O,2026-01-01,2026-01-02,2026-01-05,COLLECT COD,SHIP,Cross-border paperwork pre-cleared.
1200022,35,4,5,1.00,866.10,0.08,0.05,N,O,2025-12-30,2025-12-31,2026-01-07,DELIVER IN PERSON,TRUCK,Cross-border paperwork pre-cleared.
1200023,40,4,1,15.00,13723.95,0.08,0.09,N,F,2025-12-25,2025-12-25,2025-12-30,COLLECT COD,TRUCK,Customer requested labeled pallets.
1200023,9,8,2,5.00,2335.20,0.06,0.21,N,F,2025-12-21,2025-12-21,2025-12-23,NONE,RAIL,Keep dry during long-haul shipment.
1200023,36,12,3,25.00,688.25,0.08,0.21,N,O,2025-12-29,2025-12-27,2026-01-06,NONE,RAIL,Cross-border paperwork pre-cleared.
1200023,11,3,4,15.00,10906.20,0.03,0.09,N,F,2025-12-22,2025-12-22,2025-12-27,COLLECT COD,RAIL,Partial release accepted by planning.
1200023,15,9,5,6.00,2850.42,0.04,0.05,N,F,2025-12-24,2025-12-23,2025-12-29,NONE,TRUCK,Cross-border paperwork pre-cleared.
1200024,19,12,1,12.00,7589.52,0.00,0.21,N,O,2025-12-26,2025-12-26,2026-01-02,COLLECT COD,RAIL,Customer requested labeled pallets.
1200024,21,13,2,2.00,1516.04,0.01,0.09,N,F,2025-12-20,2025-12-21,2025-12-22,NONE,MAIL,Keep dry during long-haul shipment.
1200024,14,8,3,8.00,4292.48,0.12,0.12,N,F,2025-12-19,2025-12-20,2025-12-23,TAKE BACK RETURN,AIR,"Standard handling, no extra notes."
1200024,40,8,4,6.00,5489.58,0.00,0.09,N,O,2025-12-27,2025-12-26,2026-01-02,COLLECT COD,MAIL,Customer requested labeled pallets.
1200024,27,5,5,40.00,21350.80,0.05,0.12,N,F,2025-12-25,2025-12-26,2025-12-31,NONE,SHIP,Customer requested labeled pallets.
1200025,29,8,1,12.00,4703.88,0.00,0.07,R,F,2025-12-18,2025-12-16,2025-12-21,NONE,RAIL,"Standard handling, no extra notes."
1200025,37,10,2,5.00,1371.95,0.06,0.07,R,F,2025-12-16,2025-12-15,2025-12-20,DELIVER IN PERSON,SHIP,Late afternoon dock slot requested.
1200025,19,12,3,30.00,18973.80,0.01,0.21,N,F,2025-12-14,2025-12-13,2025-12-22,COLLECT COD,TRUCK,Partial release accepted by planning.
